"ID","target"
1,0.379365861415863
3,0.334656655788422
6,0.239650636911392
9,0.192626863718033
10,0.684556901454926
11,0.14014944434166
12,0.0656766891479492
13,0.0894864499568939
15,0.198323845863342
17,0.0959962010383606
18,0.586005032062531
19,0.153459221124649
27,0.25629723072052
29,0.00960540771484375
33,0.665042340755463
34,0.0785053670406342
39,0.100768387317657
41,0.0583793222904205
44,0.103928476572037
45,0.40959307551384
47,0.199289977550507
48,0.0385601818561554
49,0.18906569480896
53,0.135217905044556
56,0.0429484248161316
57,0.338835895061493
59,0.0522320568561554
61,0.0352566242218018
64,0.0727082788944244
68,0.0145578980445862
72,0.348127663135529
73,0.0752745270729065
81,-0.023486316204071
82,0.313896864652634
85,0.00543895363807678
87,0.0597758889198303
88,0.202112019062042
92,0.0435070097446442
95,0.0238212943077087
96,0.0456304252147675
97,0.144192963838577
99,0.260241895914078
103,0.339297652244568
104,0.131058841943741
105,0.376137167215347
106,0.304347157478333
111,0.153389602899551
112,0.416190564632416
114,0.0835273563861847
117,0.141951560974121
118,0.0866385698318481
119,0.0312793850898743
120,0.170865803956985
121,0.0541757941246033
123,0.389988839626312
127,0.037352442741394
129,0.0769338607788086
130,0.147420048713684
132,0.104477822780609
133,0.303810328245163
134,0.0980283915996552
135,0.23399356007576
139,0.28269237279892
141,0.00317803025245667
142,0.137992829084396
145,0.0910373330116272
146,0.131348222494125
147,0.392695724964142
150,0.0796480774879456
152,0.189560562372208
153,0.105778753757477
158,0.149261921644211
160,0.385308414697647
163,0.366918444633484
164,-0.00398057699203491
171,0.128057330846786
172,0.282023191452026
173,-0.00135326385498047
174,0.25729513168335
175,0.0603598654270172
176,0.263019412755966
177,0.6350337266922
178,0.249475926160812
179,0.124727696180344
180,0.424553692340851
181,0.50752055644989
182,0.177406668663025
185,0.65303373336792
187,0.117862701416016
189,0.118063479661942
190,0.0596422851085663
192,0.121810466051102
193,0.275701761245728
200,0.130364328622818
201,0.412255227565765
202,0.286868244409561
203,0.0530915558338165
204,0.11463138461113
205,0.222503185272217
206,0.119086235761642
208,0.068085253238678
209,0.17450812458992
212,0.841863393783569
214,0.109727561473846
216,0.221901804208755
224,0.0838886201381683
227,0.0811485052108765
228,0.541402995586395
229,0.269461095333099
230,0.360634207725525
231,0.837001502513885
232,0.0189100205898285
233,0.480649948120117
235,0.0555439591407776
237,0.59158456325531
240,0.0929465889930725
243,0.0727444291114807
244,0.747464120388031
245,0.162974804639816
246,0.10659322142601
247,0.140668928623199
248,0.157142072916031
250,0.102452337741852
252,0.291476607322693
254,0.133281946182251
255,0.202582567930222
257,0.0142373740673065
267,0.00967219471931458
268,0.516381978988647
271,0.755438029766083
274,0.258908808231354
277,0.367974400520325
280,0.038071483373642
281,0.173575103282928
283,0.420608520507812
284,0.610264658927917
286,0.124300330877304
287,0.155014663934708
288,0.0570468902587891
290,0.050143301486969
291,0.210568964481354
292,0.0751232504844666
295,0.239398807287216
301,0.134482502937317
303,0.280469477176666
